RID,ID,Sex,BirthDate,Height,Weight,Duration,Distance,Steps,Type
1,D,M,1939-10-16,1.7842,74.15,9242.328,17339.877300613498,14132,R
2,D,M,1939-10-16,1.7842,74.15,3735.864,6144.028103044496,5247,J
3,I,M,1999-03-12,1.778,72.57,7617.621,24941.052631578947,11847,J
4,H,F,1985-10-16,1.4478,70.76,9134.262,17064.615384615383,16638,R
5,G,F,1957-02-18,1.5542,46.26,3648.96,6549.707602339181,6720,J
6,A,M,1981-04-17,1.8542,92.9864,9690.17,15888.780487804877,16286,W
7,G,F,1957-02-18,1.5542,46.26,5378.415,9653.996101364522,9905,J
8,I,M,1999-03-12,1.778,72.57,1859.55,17828.859060402687,5313,B
9,C,M,1979-04-19,1.7542,145.15,11079.414,19860.492379835872,16941,R
10,G,F,1957-02-18,1.5542,46.26,4978.24,29632.38095238095,15557,B
11,G,F,1957-02-18,1.5542,46.26,4952.519,10424.863387978143,7631,R
12,H,F,1985-10-16,1.4478,70.76,4189.419000000001,7826.666666666667,7631,R
13,G,F,1957-02-18,1.5542,46.26,1548.36,2490.4458598726114,3128,W
14,E,F,1986-12-03,1.625,52.1631,581.4,1472.8682170542636,950,J
15,G,F,1957-02-18,1.5542,46.26,7174.400000000001,42704.7619047619,22420,B
16,G,F,1957-02-18,1.5542,46.26,13876.908000000001,24908.382066276805,25556,J
17,F,F,1984-05-21,1.698,54.4642,12942.304,31206.201550387595,20128,J
18,A,M,1981-04-17,1.8542,92.9864,8826.23,14472.19512195122,14834,W
19,B,M,1991-07-06,1.905,79.83,8895.905,20256.222547584188,13835,J
20,A,M,1981-04-17,1.8542,92.9864,5129.901,13045.714285714286,6849,R
21,E,F,1986-12-03,1.625,52.1631,1659.408,4825.263157894737,2292,R
22,I,M,1999-03-12,1.778,72.57,7288.049999999999,69875.83892617449,20823,B
23,I,M,1999-03-12,1.778,72.57,8069.985,14662.702702702703,13563,W
24,E,F,1986-12-03,1.625,52.1631,6996.78,51258.46153846154,16659,B
25,G,F,1957-02-18,1.5542,46.26,6149.385,9890.92356687898,12423,W
26,F,F,1984-05-21,1.698,54.4642,6802.2970000000005,16401.5503875969,10579,J
27,E,F,1986-12-03,1.625,52.1631,1631.172,4743.157894736842,2253,R
28,G,F,1957-02-18,1.5542,46.26,2282.533,4804.644808743169,3517,R
29,B,M,1991-07-06,1.905,79.83,11453.759,26080.5270863836,17813,J
30,F,F,1984-05-21,1.698,54.4642,3456.635,9715.789473684212,4615,R
31,H,F,1985-10-16,1.4478,70.76,5151.204,7526.21359223301,11628,J
32,I,M,1999-03-12,1.778,72.57,2640.158,8644.21052631579,4106,J
33,G,F,1957-02-18,1.5542,46.26,1439.955,2316.082802547771,2909,W
34,D,M,1939-10-16,1.7842,74.15,9041.550000000001,16963.19018404908,13825,R
35,I,M,1999-03-12,1.778,72.57,14297.105,46810.52631578947,22235,J
36,I,M,1999-03-12,1.778,72.57,7514.255,13652.972972972973,12629,W
37,B,M,1991-07-06,1.905,79.83,15299.025,28319.72789115646,20815,W
38,B,M,1991-07-06,1.905,79.83,2807.338,6392.386530014641,4366,J
39,B,M,1991-07-06,1.905,79.83,6291.45,68564.18918918919,20295,B
40,D,M,1939-10-16,1.7842,74.15,113.91999999999999,187.3536299765808,160,J
41,E,F,1986-12-03,1.625,52.1631,6460.976,18787.36842105263,8924,R
42,F,F,1984-05-21,1.698,54.4642,7357.5599999999995,53901.53846153847,17518,B
43,G,F,1957-02-18,1.5542,46.26,2094.8940000000002,3760.2339181286548,3858,J
44,B,M,1991-07-06,1.905,79.83,6526.12,71121.62162162163,21052,B
45,D,M,1939-10-16,1.7842,74.15,7640.028,14333.742331288344,11682,R
46,A,M,1981-04-17,1.8542,92.9864,3577.009,7178.064516129032,5563,J
47,G,F,1957-02-18,1.5542,46.26,1487.68,8855.238095238095,4649,B
48,I,M,1999-03-12,1.778,72.57,3559.29,6467.027027027027,5982,W
49,B,M,1991-07-06,1.905,79.83,11828.375,37419.724770642206,16315,R
50,F,F,1984-05-21,1.698,54.4642,3436.8599999999997,25178.461538461535,8183,B
51,I,M,1999-03-12,1.778,72.57,13589.805,44494.73684210526,21135,J
52,F,F,1984-05-21,1.698,54.4642,14212.765,28572.966507177032,23887,W
53,D,M,1939-10-16,1.7842,74.15,5634.056,9265.807962529274,7913,J
54,D,M,1939-10-16,1.7842,74.15,460.59999999999997,671.4285714285713,658,W
55,D,M,1939-10-16,1.7842,74.15,12491.5,18209.183673469386,17845,W
56,A,M,1981-04-17,1.8542,92.9864,15120.812,38453.333333333336,20188,R
57,I,M,1999-03-12,1.778,72.57,16332.843,53475.789473684206,25401,J
58,I,M,1999-03-12,1.778,72.57,10496.99,19072.432432432433,17642,W
59,E,F,1986-12-03,1.625,52.1631,13699.619999999999,34705.42635658915,22385,J
60,E,F,1986-12-03,1.625,52.1631,7485.372,18962.790697674416,12231,J
61,E,F,1986-12-03,1.625,52.1631,764.4,5600,1820,B
62,F,F,1984-05-21,1.698,54.4642,2065.742,5806.315789473684,2758,R
63,H,F,1985-10-16,1.4478,70.76,5961.735000000001,7795.971074380165,15093,W
64,D,M,1939-10-16,1.7842,74.15,8360.1,45871.6049382716,18578,B
65,E,F,1986-12-03,1.625,52.1631,6322.679999999999,46320,15054,B
66,I,M,1999-03-12,1.778,72.57,13822.795,82022.22222222222,18455,R
67,F,F,1984-05-21,1.698,54.4642,1961.15,4728.682170542636,3050,J
68,C,M,1979-04-19,1.7542,145.15,16772.484,30065.65064478312,25646,R
69,D,M,1939-10-16,1.7842,74.15,17951.5,26168.367346938776,25645,W
70,C,M,1979-04-19,1.7542,145.15,2895.2580000000003,5189.917936694022,4427,R
71,F,F,1984-05-21,1.698,54.4642,5634.65,11327.751196172248,9470,W
72,H,F,1985-10-16,1.4478,70.76,3017.405,3945.7644628099174,7639,W
73,G,F,1957-02-18,1.5542,46.26,5203.2,30971.428571428572,16260,B
74,B,M,1991-07-06,1.905,79.83,13943.455,31749.633967789166,21685,J
75,F,F,1984-05-21,1.698,54.4642,7940.898,22320,10602,R
76,C,M,1979-04-19,1.7542,145.15,5697.648,10213.364595545136,8712,R
77,G,F,1957-02-18,1.5542,46.26,2123.55,3415.605095541401,4290,W
78,F,F,1984-05-21,1.698,54.4642,3680.04,26960,8762,B
79,D,M,1939-10-16,1.7842,74.15,15600.9,22741.836734693876,22287,W
80,F,F,1984-05-21,1.698,54.4642,3609.159,8702.325581395347,5613,J
81,D,M,1939-10-16,1.7842,74.15,13900.599999999999,20263.26530612245,19858,W
82,E,F,1986-12-03,1.625,52.1631,4394.68,12778.947368421052,6070,R
83,B,M,1991-07-06,1.905,79.83,4600.849999999999,14555.045871559632,6346,R
84,C,M,1979-04-19,1.7542,145.15,4240.35,17132.727272727272,9423,B
85,H,F,1985-10-16,1.4478,70.76,7347.816000000001,13727.179487179488,13384,R
86,H,F,1985-10-16,1.4478,70.76,7520.405000000001,9834.194214876034,19039,W
87,E,F,1986-12-03,1.625,52.1631,13651.02,39694.73684210527,18855,R
88,B,M,1991-07-06,1.905,79.83,14940.748,34020.497803806735,23236,J
89,B,M,1991-07-06,1.905,79.83,5752.15,18197.24770642202,7934,R
90,I,M,1999-03-12,1.778,72.57,17432.226,103440,23274,R
91,F,F,1984-05-21,1.698,54.4642,9381.37,22620.15503875969,14590,J
92,G,F,1957-02-18,1.5542,46.26,1011.791,2129.781420765027,1559,R
93,G,F,1957-02-18,1.5542,46.26,3394.56,20205.714285714286,10608,B
94,F,F,1984-05-21,1.698,54.4642,3484.74,25529.23076923077,8297,B
95,C,M,1979-04-19,1.7542,145.15,9885.864,17720.984759671748,15116,R
96,B,M,1991-07-06,1.905,79.83,2472.25,26942.56756756757,7975,B
97,I,M,1999-03-12,1.778,72.57,9566.977,56768.88888888889,12773,R
98,C,M,1979-04-19,1.7542,145.15,8510.85,34387.27272727273,18913,B
99,E,F,1986-12-03,1.625,52.1631,3744.6179999999995,7844.497607655502,6558,W
100,G,F,1957-02-18,1.5542,46.26,10739.025,17273.089171974523,21695,W
101,E,F,1986-12-03,1.625,52.1631,15675.323999999999,45581.05263157895,21651,R
102,B,M,1991-07-06,1.905,79.83,6145.335,11375.510204081631,8361,W
103,F,F,1984-05-21,1.698,54.4642,5896.45,11854.066985645932,9910,W
104,G,F,1957-02-18,1.5542,46.26,9124.572,16378.167641325535,16804,J
